rtk_m,plot,long,lat
0.751000000000000,dc1,-81.279022625627107,31.387956039225401
0.628000000000000,dc2,-81.279022625627107,31.387956039225401
0.871000000000000,dc3,-81.279022625627107,31.387956039225401
0.804000000000000,dc4,-81.279022625627107,31.387956039225401
0.913000000000000,dc5,-81.279022625627107,31.387956039225401
0.683000000000000,dc6,-81.279022625627107,31.387956039225401
0.916000000000000,dc7,-81.279022625627107,31.387956039225401
0.887000000000000,dc8,-81.279022625627107,31.387956039225401
0.798000000000000,dc9,-81.279022625627107,31.387956039225401
1.105000000000000,du1,-81.295280262763100,31.410146270487200
1.082000000000000,du2,-81.295280262763100,31.410146270487200
1.010000000000000,du3,-81.295280262763100,31.410146270487200
0.924000000000000,du4,-81.295280262763100,31.410146270487200
0.935000000000000,du5,-81.295280262763100,31.410146270487200
0.956000000000000,du6,-81.295280262763100,31.410146270487200
0.918000000000000,du7,-81.295280262763100,31.410146270487200
0.911000000000000,du8,-81.295280262763100,31.410146270487200
0.903000000000000,du9,-81.295280262763100,31.410146270487200
0.826000000000000,fr1,-81.343163454323403,31.438506950285600
0.905000000000000,fr2,-81.343163454323403,31.438506950285600
0.928000000000000,fr3,-81.343163454323403,31.438506950285600
0.912000000000000,fr4,-81.343163454323403,31.438506950285600
0.905000000000000,fr5,-81.343163454323403,31.438506950285600
0.901000000000000,fr6,-81.343163454323403,31.438506950285600
0.882000000000000,fr7,-81.343163454323403,31.438506950285600
0.885000000000000,fr8,-81.343163454323403,31.438506950285600
0.892000000000000,fr9,-81.343163454323403,31.438506950285600
0.585000000000000,hc9,-81.265497170613898,31.480363769175199
0.594000000000000,hc8,-81.265497170613898,31.480363769175199
0.587000000000000,hc7,-81.265497170613898,31.480363769175199
0.533000000000000,hc6,-81.265497170613898,31.480363769175199
0.541000000000000,hc5,-81.265497170613898,31.480363769175199
0.553000000000000,hc4,-81.265497170613898,31.480363769175199
0.562000000000000,hc3,-81.265497170613898,31.480363769175199
0.641000000000000,hc2,-81.265497170613898,31.480363769175199
0.684000000000000,hc1,-81.265497170613898,31.480363769175199
0.932000000000000,ns4,-81.232348338265396,31.521410576203301
0.875000000000000,ns5,-81.232348338265396,31.521410576203301
0.859000000000000,ns6,-81.232348338265396,31.521410576203301
0.848000000000000,ns7,-81.232348338265396,31.521410576203301
0.817000000000000,ns8,-81.232348338265396,31.521410576203301
0.827000000000000,ns9,-81.232348338265396,31.521410576203301
0.742000000000000,ns1,-81.232348338265396,31.521410576203301
0.767000000000000,ns2,-81.232348338265396,31.521410576203301
0.791000000000000,ns3,-81.232348338265396,31.521410576203301
0.688000000000000,t1,-81.285665396089911,31.446285215223199
0.687000000000000,t2,-81.285665396089911,31.446285215223199
0.631000000000000,t3,-81.285665396089911,31.446285215223199
0.623000000000000,t4,-81.285665396089911,31.446285215223199
0.588000000000000,t5,-81.285665396089911,31.446285215223199
0.645000000000000,t6,-81.285665396089911,31.446285215223199
0.779000000000000,m1,-81.285665396089911,31.446285215223199
0.784000000000000,m2,-81.285665396089911,31.446285215223199
0.792000000000000,m3,-81.285665396089911,31.446285215223199
0.781000000000000,m4,-81.285665396089911,31.446285215223199
0.773000000000000,m5,-81.285665396089911,31.446285215223199
0.743000000000000,m6,-81.285665396089911,31.446285215223199
0.797000000000000,s1,-81.285665396089911,31.446285215223199
0.791000000000000,s2,-81.285665396089911,31.446285215223199
0.794000000000000,s3,-81.285665396089911,31.446285215223199
0.793000000000000,s4,-81.285665396089911,31.446285215223199
0.819000000000000,s5,-81.285665396089911,31.446285215223199
0.806000000000000,s6,-81.285665396089911,31.446285215223199
0.718000000000000,fb1,-81.275126811024606,31.444222868892599
0.711000000000000,fb2,-81.275126811024606,31.444222868892599
0.709000000000000,fb3,-81.275126811024606,31.444222868892599
0.676000000000000,fb4,-81.275126811024606,31.444222868892599
0.700000000000000,fb5,-81.275126811024606,31.444222868892599
0.685000000000000,fb6,-81.275126811024606,31.444222868892599
0.748000000000000,fb7,-81.275126811024606,31.444222868892599
0.754000000000000,fb8,-81.275126811024606,31.444222868892599
0.750000000000000,fb9,-81.275126811024606,31.444222868892599
0.896000000000000,sk1,-81.029236799003797,31.985970431238300
0.867000000000000,sk2,-81.029236799003797,31.985970431238300
0.850000000000000,sk3,-81.029236799003797,31.985970431238300
0.797000000000000,sk4,-81.029236799003797,31.985970431238300
0.772000000000000,sk5,-81.029236799003797,31.985970431238300
0.736000000000000,sk6,-81.029236799003797,31.985970431238300
0.722000000000000,sk7,-81.029236799003797,31.985970431238300
0.712000000000000,sk8,-81.029236799003797,31.985970431238300
0.736000000000000,sk9,-81.029236799003797,31.985970431238300
0.706000000000000,ug1,-81.287150183650397,31.399051296446800
0.766000000000000,ug2,-81.287150183650397,31.399051296446800
0.764000000000000,ug3,-81.287150183650397,31.399051296446800
0.758000000000000,ug4,-81.287150183650397,31.399051296446800
0.782000000000000,ug5,-81.287150183650397,31.399051296446800
0.816000000000000,ug6,-81.287150183650397,31.399051296446800
0.831000000000000,ug7,-81.287150183650397,31.399051296446800
0.846000000000000,ug8,-81.287150183650397,31.399051296446800
0.887000000000000,ug9,-81.287150183650397,31.399051296446800
